Repository,Number,Body,class,Title,Combined_Text
incubator-mxnet,9216,"## Description
1. BatchNorm loses a little precision
2. the output_var in BatchNorm may be wrong

## Environment Info
OS: Arch Linux 4.14.8
MXNet: 1.0.0 and 1.0.1 (the latest version, CPU version)

## Build Config
make -j8 USE_OPENCV=1 USE_BLAS=openblas
***

Hi, there.

I converted [ResNet Model on Caffe](https://github.com/KaimingHe/deep-residual-networks) to [ResNet model on MXNet](https://github.com/wkcn/resnet-v1-mx).

And I found that the output results between Caffe and MXNet are different.

The reason is that the computations of Caffe and MXNet are different.

For the BatchNorm in Caffe, the output is .

For the BatchNorm in MXNet, the output is , and .

I think the method in MXNet will **lose a little precision** but bring the **higher performance** (Reduce the times of division).

At the same time, I found that the  in BatchNorm may be wrong. 

The  is **invstd**, namely the multiplicative inverse of the standard deviation. I think it should be the variance.

## Steps to reproduce

Here is [my testing code](https://github.com/wkcn/test_mxnet_bn).

I compare three outputs:

- numpy (compute manally)
- caffe
- mxnet



The first column is the , and the second column is the .

# What I have tried to solve it

I change the BatchNorm implement in MXNet, and the output is below:



The modified BatchNorm(cpu) code is [here](https://github.com/wkcn/incubator-mxnet/commit/5ecd4882bc043cf059e962f7ce488270bafa07c7).
",1,Loss of Precision in BatchNorm and output_var may be wrong,"Loss of Precision in BatchNorm and output_var may be wrong ## Description
1. BatchNorm loses a little precision
2. the output_var in BatchNorm may be wrong

## Environment Info
OS: Arch Linux 4.14.8
MXNet: 1.0.0 and 1.0.1 (the latest version, CPU version)

## Build Config
make -j8 USE_OPENCV=1 USE_BLAS=openblas
***

Hi, there.

I converted [ResNet Model on Caffe](https://github.com/KaimingHe/deep-residual-networks) to [ResNet model on MXNet](https://github.com/wkcn/resnet-v1-mx).

And I found that the output results between Caffe and MXNet are different.

The reason is that the computations of Caffe and MXNet are different.

For the BatchNorm in Caffe, the output is .

For the BatchNorm in MXNet, the output is , and .

I think the method in MXNet will **lose a little precision** but bring the **higher performance** (Reduce the times of division).

At the same time, I found that the  in BatchNorm may be wrong. 

The  is **invstd**, namely the multiplicative inverse of the standard deviation. I think it should be the variance.

## Steps to reproduce

Here is [my testing code](https://github.com/wkcn/test_mxnet_bn).

I compare three outputs:

- numpy (compute manally)
- caffe
- mxnet



The first column is the , and the second column is the .

# What I have tried to solve it

I change the BatchNorm implement in MXNet, and the output is below:



The modified BatchNorm(cpu) code is [here](https://github.com/wkcn/incubator-mxnet/commit/5ecd4882bc043cf059e962f7ce488270bafa07c7).
"
incubator-mxnet,10881,"We are using mx.sym.dot() operator in Keras heavily. We observe CPU performance is suspiciously slower. On profiling a RNN LSTM example, the observation is as shown below.

dot() operator  is contributing to 90% of computation time. Is there any performance implication of mx.sym.dot() operator on CPU? 

We are using mxnet-mkl-dnn build, is the operator using gemm operations under the hood?
 
![image](https://user-images.githubusercontent.com/3403674/39853665-655d9708-53d8-11e8-8f34-58de7cbafd0e.png)

@anirudh2290 @zheng-da - Any suggestions / comments?",1,mx.sym.dot() performance on CPU,"mx.sym.dot() performance on CPU We are using mx.sym.dot() operator in Keras heavily. We observe CPU performance is suspiciously slower. On profiling a RNN LSTM example, the observation is as shown below.

dot() operator  is contributing to 90% of computation time. Is there any performance implication of mx.sym.dot() operator on CPU? 

We are using mxnet-mkl-dnn build, is the operator using gemm operations under the hood?
 
![image](https://user-images.githubusercontent.com/3403674/39853665-655d9708-53d8-11e8-8f34-58de7cbafd0e.png)

@anirudh2290 @zheng-da - Any suggestions / comments?"
incubator-mxnet,10368,"The train part cost 0.01 second, but the asscalar operation cost a few seconds sometimes more than 10. I install the newest version of mxnet by pip, and this was happened with cpu and gpu context both.
Does anyone have any idea for fixing this? Thank you very much.
`",1,asscalar is very slow,"asscalar is very slow The train part cost 0.01 second, but the asscalar operation cost a few seconds sometimes more than 10. I install the newest version of mxnet by pip, and this was happened with cpu and gpu context both.
Does anyone have any idea for fixing this? Thank you very much.
`"
incubator-mxnet,3591,"I have quite a deep net trained on 4 gpus which all works fine.

But when I try and run predict it is very very slow. only 1-cpu is doing anything (out of 16) and the GPUs are doing nothing. Looks like the model is loaded in gpu memory and actually I think it was never unloaded after training. Not sure if that should happen automatically or not.

How do I force the predict to run on GPU?
",1,In R prediction is running only on CPU very sow,"In R prediction is running only on CPU very sow I have quite a deep net trained on 4 gpus which all works fine.

But when I try and run predict it is very very slow. only 1-cpu is doing anything (out of 16) and the GPUs are doing nothing. Looks like the model is loaded in gpu memory and actually I think it was never unloaded after training. Not sure if that should happen automatically or not.

How do I force the predict to run on GPU?
"
incubator-mxnet,13449,"It seems https://github.com/apache/incubator-mxnet/pull/12380 causes significant performance regression in SpMV. It causes about 3 times slow down on p3.16x. The main reason is that the PR causes a small number of omp threads to perform computation.

Here is the minimal code for reproducing the bug. It seems the problem occurs only when a model is initialized with multiple GPUs.

use the code below to run the code.


The csr file can be downloaded from


",1,significant performance regression in SpMV,"significant performance regression in SpMV It seems https://github.com/apache/incubator-mxnet/pull/12380 causes significant performance regression in SpMV. It causes about 3 times slow down on p3.16x. The main reason is that the PR causes a small number of omp threads to perform computation.

Here is the minimal code for reproducing the bug. It seems the problem occurs only when a model is initialized with multiple GPUs.

use the code below to run the code.


The csr file can be downloaded from


"
incubator-mxnet,7820,"I have changed a model which called pvanet from caffe [https://github.com/sanghoon/pva-faster-rcnn](https://github.com/sanghoon/pva-faster-rcnn), it is a implementation of the article by the author [https://arxiv.org/abs/1608.08021](https://arxiv.org/abs/1608.08021), my problem is why my accuracy is low than author's
What I have done:
1 Implement the classification net: [https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/image-classification/symbols/pvanet.py](https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/image-classification/symbols/pvanet.py)
2 feed the classification to Faster R-CNN module: [https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/rcnn/rcnn/symbol/symbol_pvanet.py](https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/rcnn/rcnn/symbol/symbol_pvanet.py)
Most job I have done is to atapt Faster-R-CNN,  replace the vgg pre-trained model with pvanet pre-trained model, for details see #7786 
Firstly the classification net pvanet's accuracy is 64.0%(70.6% as article)
Secondly detection net (pvanet+rpn+rcnn)'s mAP is 59.37%(82.5% as article)
I checked my net structure carefully to make it the same as author's implementation in caffe, is there anything I do wrong?  ",1,Low accuracy of pvanet,"Low accuracy of pvanet I have changed a model which called pvanet from caffe [https://github.com/sanghoon/pva-faster-rcnn](https://github.com/sanghoon/pva-faster-rcnn), it is a implementation of the article by the author [https://arxiv.org/abs/1608.08021](https://arxiv.org/abs/1608.08021), my problem is why my accuracy is low than author's
What I have done:
1 Implement the classification net: [https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/image-classification/symbols/pvanet.py](https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/image-classification/symbols/pvanet.py)
2 feed the classification to Faster R-CNN module: [https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/rcnn/rcnn/symbol/symbol_pvanet.py](https://github.com/qingzhouzhen/incubator-mxnet/blob/pvanet-e2e/example/rcnn/rcnn/symbol/symbol_pvanet.py)
Most job I have done is to atapt Faster-R-CNN,  replace the vgg pre-trained model with pvanet pre-trained model, for details see #7786 
Firstly the classification net pvanet's accuracy is 64.0%(70.6% as article)
Secondly detection net (pvanet+rpn+rcnn)'s mAP is 59.37%(82.5% as article)
I checked my net structure carefully to make it the same as author's implementation in caffe, is there anything I do wrong?  "
incubator-mxnet,269,"Hi，
I use Alexnet.py in /example/imagenet to training with the configure unchanged,but after 20 rounds ,the accuracy is only 0.438870,much worse than the result shown in the docs(81%).
the dataset is from imagenet.
I wonder where this difference comes from.
Any help?
Thx.
",1,About training accuracy,"About training accuracy Hi，
I use Alexnet.py in /example/imagenet to training with the configure unchanged,but after 20 rounds ,the accuracy is only 0.438870,much worse than the result shown in the docs(81%).
the dataset is from imagenet.
I wonder where this difference comes from.
Any help?
Thx.
"
incubator-mxnet,13454,"## Description

The PR (#11001) introduced a checked in SymbolBlock.imports that makes the loading of large graph takes very long time (it used to be instantaneous):

The issue is the code checking if any symbol is row_sparse, removing this check allows to load large model instantaneously again.

## Environment info (Required)

----------Python Info----------
Version      : 3.6.5
Compiler     : GCC 4.2.1 Compatible Apple LLVM 9.0.0 (clang-900.0.39.2)
Build        : ('default', 'Jun 17 2018 12:26:58')
Arch         : ('64bit', '')
------------Pip Info-----------
Version      : 18.0
Directory    : /usr/local/lib/python3.6/site-packages/pip
----------MXNet Info-----------
/usr/local/lib/python3.6/site-packages/requests/__init__.py:80: RequestsDependencyWarning: urllib3 (1.24) or chardet (3.0.4) doesn't match a supported version!
  RequestsDependencyWarning)
Version      : 1.3.0
Directory    : /usr/local/lib/python3.6/site-packages/mxnet
Commit Hash   : b3be92f4a48bce62a5a8424271871c2f81c8f7f1
----------System Info----------
Platform     : Darwin-16.7.0-x86_64-i386-64bit
system       : Darwin
node         : 186590d6796f.ant.amazon.com
release      : 16.7.0
version      : Darwin Kernel Version 16.7.0: Wed Oct 10 20:06:00 PDT 2018; root:xnu-3789.73.24~1/RELEASE_X86_64
----------Hardware Info----------
machine      : x86_64
processor    : i386
b'machdep.cpu.extfeatures: SYSCALL XD 1GBPAGE EM64T LAHF LZCNT PREFETCHW RDTSCP TSCI'
b'machdep.cpu.leaf7_features: SMEP ERMS RDWRFSGS TSC_THREAD_OFFSET BMI1 AVX2 BMI2 INVPCID SMAP RDSEED ADX IPT FPU_CSDS'
b'machdep.cpu.features: FPU VME DE PSE TSC MSR PAE MCE CX8 APIC SEP MTRR PGE MCA CMOV PAT PSE36 CLFSH DS ACPI MMX FXSR SSE SSE2 SS HTT TM PBE SSE3 PCLMULQDQ DTES64 MON DSCPL VMX EST TM2 SSSE3 FMA CX16 TPR PDCM SSE4.1 SSE4.2 x2APIC MOVBE POPCNT AES PCID XSAVE OSXSAVE SEGLIM64 TSCTMR AVX1.0 RDRAND F16C'
b'machdep.cpu.brand_string: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz'
----------Network Test----------
Setting timeout: 10
Timing for MXNet: https://github.com/apache/incubator-mxnet, DNS: 0.0543 sec, LOAD: 1.2793 sec.
Timing for Gluon Tutorial(en): http://gluon.mxnet.io, DNS: 0.0628 sec, LOAD: 0.9555 sec.
Timing for Gluon Tutorial(cn): https://zh.gluon.ai, DNS: 0.0802 sec, LOAD: 0.8386 sec.
Timing for FashionMNIST: https://apache-mxnet.s3-accelerate.dualstack.amazonaws.com/gluon/dataset/fashion-mnist/train-labels-idx1-ubyte.gz, DNS: 0.0073 sec, LOAD: 1.2169 sec.
Timing for PYPI: https://pypi.python.org/pypi/pip, DNS: 0.0521 sec, LOAD: 1.1819 sec.
Timing for Conda: https://repo.continuum.io/pkgs/free/, DNS: 0.0419 sec, LOAD: 0.3027 sec.



## Minimum reproducible example
(If you are using your own code, please provide a short script that reproduces the error. Otherwise, please provide link to the existing example.)

## Steps to reproduce
(Paste the commands you ran that produced the error.)

1. download model attached and script to load it
[model-loading-issue.zip](https://github.com/apache/incubator-mxnet/files/2629332/model-loading-issue.zip)
2. python slow_model_loading.py

## What have you tried to solve it?

1. comment check that symbol is row_sparse
",1,Model loading became very slow after #11001,"Model loading became very slow after #11001 ## Description

The PR (#11001) introduced a checked in SymbolBlock.imports that makes the loading of large graph takes very long time (it used to be instantaneous):

The issue is the code checking if any symbol is row_sparse, removing this check allows to load large model instantaneously again.

## Environment info (Required)

----------Python Info----------
Version      : 3.6.5
Compiler     : GCC 4.2.1 Compatible Apple LLVM 9.0.0 (clang-900.0.39.2)
Build        : ('default', 'Jun 17 2018 12:26:58')
Arch         : ('64bit', '')
------------Pip Info-----------
Version      : 18.0
Directory    : /usr/local/lib/python3.6/site-packages/pip
----------MXNet Info-----------
/usr/local/lib/python3.6/site-packages/requests/__init__.py:80: RequestsDependencyWarning: urllib3 (1.24) or chardet (3.0.4) doesn't match a supported version!
  RequestsDependencyWarning)
Version      : 1.3.0
Directory    : /usr/local/lib/python3.6/site-packages/mxnet
Commit Hash   : b3be92f4a48bce62a5a8424271871c2f81c8f7f1
----------System Info----------
Platform     : Darwin-16.7.0-x86_64-i386-64bit
system       : Darwin
node         : 186590d6796f.ant.amazon.com
release      : 16.7.0
version      : Darwin Kernel Version 16.7.0: Wed Oct 10 20:06:00 PDT 2018; root:xnu-3789.73.24~1/RELEASE_X86_64
----------Hardware Info----------
machine      : x86_64
processor    : i386
b'machdep.cpu.extfeatures: SYSCALL XD 1GBPAGE EM64T LAHF LZCNT PREFETCHW RDTSCP TSCI'
b'machdep.cpu.leaf7_features: SMEP ERMS RDWRFSGS TSC_THREAD_OFFSET BMI1 AVX2 BMI2 INVPCID SMAP RDSEED ADX IPT FPU_CSDS'
b'machdep.cpu.features: FPU VME DE PSE TSC MSR PAE MCE CX8 APIC SEP MTRR PGE MCA CMOV PAT PSE36 CLFSH DS ACPI MMX FXSR SSE SSE2 SS HTT TM PBE SSE3 PCLMULQDQ DTES64 MON DSCPL VMX EST TM2 SSSE3 FMA CX16 TPR PDCM SSE4.1 SSE4.2 x2APIC MOVBE POPCNT AES PCID XSAVE OSXSAVE SEGLIM64 TSCTMR AVX1.0 RDRAND F16C'
b'machdep.cpu.brand_string: Intel(R) Core(TM) i7-5557U CPU @ 3.10GHz'
----------Network Test----------
Setting timeout: 10
Timing for MXNet: https://github.com/apache/incubator-mxnet, DNS: 0.0543 sec, LOAD: 1.2793 sec.
Timing for Gluon Tutorial(en): http://gluon.mxnet.io, DNS: 0.0628 sec, LOAD: 0.9555 sec.
Timing for Gluon Tutorial(cn): https://zh.gluon.ai, DNS: 0.0802 sec, LOAD: 0.8386 sec.
Timing for FashionMNIST: https://apache-mxnet.s3-accelerate.dualstack.amazonaws.com/gluon/dataset/fashion-mnist/train-labels-idx1-ubyte.gz, DNS: 0.0073 sec, LOAD: 1.2169 sec.
Timing for PYPI: https://pypi.python.org/pypi/pip, DNS: 0.0521 sec, LOAD: 1.1819 sec.
Timing for Conda: https://repo.continuum.io/pkgs/free/, DNS: 0.0419 sec, LOAD: 0.3027 sec.



## Minimum reproducible example
(If you are using your own code, please provide a short script that reproduces the error. Otherwise, please provide link to the existing example.)

## Steps to reproduce
(Paste the commands you ran that produced the error.)

1. download model attached and script to load it
[model-loading-issue.zip](https://github.com/apache/incubator-mxnet/files/2629332/model-loading-issue.zip)
2. python slow_model_loading.py

## What have you tried to solve it?

1. comment check that symbol is row_sparse
"
incubator-mxnet,8335,"I've been testing MXNet on both Win10 and Ubuntu 16.04 in a long time. I found that the performance of Windows is lower than Linux by 15%-20% on both GPU and CPU contexts. So I wonder what makes the performance gap and I hope someone can solve this problem. My config is like following:
MXNet on Ubuntu:
MKL blas/CUDA8/CUDNN6/OpenCV 2.4.13/no jemalloc, no gperftools/building with Makefile
MXNet on Windows:
MKL blas/CUDA8/CUDNN6/OpenCV 2.4.13/no jemalloc, no gperftools/building with CMake",1,Performance of MXNet on Windows  is lower than that on Linux by 15%-20%,"Performance of MXNet on Windows  is lower than that on Linux by 15%-20% I've been testing MXNet on both Win10 and Ubuntu 16.04 in a long time. I found that the performance of Windows is lower than Linux by 15%-20% on both GPU and CPU contexts. So I wonder what makes the performance gap and I hope someone can solve this problem. My config is like following:
MXNet on Ubuntu:
MKL blas/CUDA8/CUDNN6/OpenCV 2.4.13/no jemalloc, no gperftools/building with Makefile
MXNet on Windows:
MKL blas/CUDA8/CUDNN6/OpenCV 2.4.13/no jemalloc, no gperftools/building with CMake"
incubator-mxnet,11919,"## Description
I trained same SqueezeNet model with same hyper-parameters and dataset on p3.8xlarge and p3.16xlarge with same AMI but got ~3% lower accuracies on p3.16xlarge. I used same batch size per GPU but effective batch size is 2x in p3.16xlarge due to 2x number of GPUs.

## Environment info (Required)

p3.8xlarge


p3.16xlarge


Package used: Python

## Minimum reproducible example
Used model definition and training script from GluonCV - https://gluon-cv.mxnet.io/build/examples_classification/dive_deep_imagenet.html#sphx-glr-build-examples-classification-dive-deep-imagenet-py

## Steps to reproduce

1. p3.8xlarge - 

2. p3.16xlarge - 
",1,Accuracy changes with number of GPUs,"Accuracy changes with number of GPUs ## Description
I trained same SqueezeNet model with same hyper-parameters and dataset on p3.8xlarge and p3.16xlarge with same AMI but got ~3% lower accuracies on p3.16xlarge. I used same batch size per GPU but effective batch size is 2x in p3.16xlarge due to 2x number of GPUs.

## Environment info (Required)

p3.8xlarge


p3.16xlarge


Package used: Python

## Minimum reproducible example
Used model definition and training script from GluonCV - https://gluon-cv.mxnet.io/build/examples_classification/dive_deep_imagenet.html#sphx-glr-build-examples-classification-dive-deep-imagenet-py

## Steps to reproduce

1. p3.8xlarge - 

2. p3.16xlarge - 
"
