Repository,Number,Body,class,Title,Combined_Text
caffe,3075,"hi, tried run example https github.com bvlc caffe blob master examples 00 classification.ipynb, find result quite different notebook's description, result predicted class 48281. example says predicted class 281. anyone know different? btw, first think might category 48 category 281, sure not, since check data ilsvrc12 synset words.txt think unrelated. done several times newest caffe repos download models readme 's url http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel , tried download model zoo . scripts download model binary.py models bvlc reference caffenet slow test model, wonder maybe model previous url. suggestions much appreciated, thanks.",1,strange result running blvc reference caffenet model,"strange result running blvc reference caffenet model hi, tried run example https github.com bvlc caffe blob master examples 00 classification.ipynb, find result quite different notebook's description, result predicted class 48281. example says predicted class 281. anyone know different? btw, first think might category 48 category 281, sure not, since check data ilsvrc12 synset words.txt think unrelated. done several times newest caffe repos download models readme 's url http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel http dl.caffe.berkeleyvision.org bvlc reference caffenet.caffemodel , tried download model zoo . scripts download model binary.py models bvlc reference caffenet slow test model, wonder maybe model previous url. suggestions much appreciated, thanks."
caffe,4102,"used deploy.prototxt initialize new net, batch size 256, loading deploy.prototxt use following code run forward ,the runing time 13 ms. change size deploy.prototxt,the forward runing time follows prototxt size 256 new batch size 16 runing time 13ms prototxt size 16 new batch size 16 runing time 1.5ms prototxt size 1024 new batch size 16 runing time 60ms method reshape seems work. thanks",1,change batch size method reshape,"change batch size method reshape used deploy.prototxt initialize new net, batch size 256, loading deploy.prototxt use following code run forward ,the runing time 13 ms. change size deploy.prototxt,the forward runing time follows prototxt size 256 new batch size 16 runing time 13ms prototxt size 16 new batch size 16 runing time 1.5ms prototxt size 1024 new batch size 16 runing time 60ms method reshape seems work. thanks"
caffe,5643,"hi all, question discuss anyone interested mobile applications. trained caffemodel result good 35fps test desktop, equipped nvidia titan xp. transform work nvidia tx2, work detection speed slow 2fps . solve problem, get idea. since got trained model, convert forward pass c python scripts get rid caffe framework. anyone ever done kind things think workable improve detection speed? discussion appreciated. thx",1,convert caffemodel c python scripts improve detection speed?,"convert caffemodel c python scripts improve detection speed? hi all, question discuss anyone interested mobile applications. trained caffemodel result good 35fps test desktop, equipped nvidia titan xp. transform work nvidia tx2, work detection speed slow 2fps . solve problem, get idea. since got trained model, convert forward pass c python scripts get rid caffe framework. anyone ever done kind things think workable improve detection speed? discussion appreciated. thx"
caffe,3086,"working generating saliency maps though gradient data, http www.robots.ox.ac.uk vgg publications 2014 simonyan14a simonyan14a.pdf famous paper. works well using pycaffe cpu mode. gpu mode, gradients computed backward pass zeros. using ubuntu 14.04, vgg net without data layer set force backward true. code works works, indeed",1,pycaffe backward produces zero gradients gpu mode,"pycaffe backward produces zero gradients gpu mode working generating saliency maps though gradient data, http www.robots.ox.ac.uk vgg publications 2014 simonyan14a simonyan14a.pdf famous paper. works well using pycaffe cpu mode. gpu mode, gradients computed backward pass zeros. using ubuntu 14.04, vgg net without data layer set force backward true. code works works, indeed"
caffe,2448,"hi everyone. run caffe cpu usage close 100 , iteration needs 0.34s. however, several iterations cpu usage drops significantly, iteration needs 5s, time data io. system ubuntu 14.04 data layer lmdb. anybody know solve problem? thanks! comparison running time 1. high cpu usage 1. low cpu usage thanks!",1,cpu usage low level,"cpu usage low level hi everyone. run caffe cpu usage close 100 , iteration needs 0.34s. however, several iterations cpu usage drops significantly, iteration needs 5s, time data io. system ubuntu 14.04 data layer lmdb. anybody know solve problem? thanks! comparison running time 1. high cpu usage 1. low cpu usage thanks!"
caffe,2322,"trained convnet getting loss 0.0002. output softmax containing votes class also high one class 0.99 general, also 0.8 low others. mean network accurate predictions? getting accuracy 80 ? thanks!",1,loss small 0.0002 accuracy high,"loss small 0.0002 accuracy high trained convnet getting loss 0.0002. output softmax containing votes class also high one class 0.99 general, also 0.8 low others. mean network accurate predictions? getting accuracy 80 ? thanks!"
caffe,6557,"thank watching, spent lots time cannot find solution. problem fine tuning train, caffe hang without error layer factory.hpp 77 creating layer data console shows caffe initializing net parameters create layers. completed first time hang second time. see bottom wonder memory import parameters create layers? changed origin illeagal, change output num, means num parameters changed well, origin caffelmodel file fit change? limit windows imagedata work net uses imagedata layer image lmdb automatically, happend, windows? changed changed origin net finetuning do, think. want finetune googlenet,so change output num 3 inproduct layer change name add propagate choice layers avoid backward evaluation. changed source path,batch size rate parameter. decrease parameter solver file data set small. changed solver cpu mode. terminal message using git bash terminal.",1,caffe hang without error prompt creating layer data using fine tuning train,"caffe hang without error prompt creating layer data using fine tuning train thank watching, spent lots time cannot find solution. problem fine tuning train, caffe hang without error layer factory.hpp 77 creating layer data console shows caffe initializing net parameters create layers. completed first time hang second time. see bottom wonder memory import parameters create layers? changed origin illeagal, change output num, means num parameters changed well, origin caffelmodel file fit change? limit windows imagedata work net uses imagedata layer image lmdb automatically, happend, windows? changed changed origin net finetuning do, think. want finetune googlenet,so change output num 3 inproduct layer change name add propagate choice layers avoid backward evaluation. changed source path,batch size rate parameter. decrease parameter solver file data set small. changed solver cpu mode. terminal message using git bash terminal."
caffe,3239,"running model dataset, latest master v3 took 25 minutes finish 1000 iterations v2 took 10 minutes. kernels first three convolutional layers 9, 7 5 pixels. problem also reported fork caffe https github.com happynear caffe windows issues 24 many sources https www.google.co.in ?gws rd ssl newwindow 1 q cudnn v3 slower . maybe cudnn v3 works well maxwell architecture gpus can't choose efficient convolution algorithm. simplest solution revert older version caffe since v2 longer supported https github.com bvlc caffe pull 3218 nvidia fix problem. still want keep caffe date experiment new features batch normalization. second way specify convolution algorithm explicitly flexible enough various model configurations. last resort keep backwards compatibility cudnn v2 caffe.",1,cudnn v3 much slower v2,"cudnn v3 much slower v2 running model dataset, latest master v3 took 25 minutes finish 1000 iterations v2 took 10 minutes. kernels first three convolutional layers 9, 7 5 pixels. problem also reported fork caffe https github.com happynear caffe windows issues 24 many sources https www.google.co.in ?gws rd ssl newwindow 1 q cudnn v3 slower . maybe cudnn v3 works well maxwell architecture gpus can't choose efficient convolution algorithm. simplest solution revert older version caffe since v2 longer supported https github.com bvlc caffe pull 3218 nvidia fix problem. still want keep caffe date experiment new features batch normalization. second way specify convolution algorithm explicitly flexible enough various model configurations. last resort keep backwards compatibility cudnn v2 caffe."
caffe,6061,seems speed bottleneck data... training slow? there's two gtx1080 use. here's network,1,"low speed train network, time test.","low speed train network, time test. seems speed bottleneck data... training slow? there's two gtx1080 use. here's network"
caffe,6065,"issue summary use model definition models bvlc alexnet train val.prototxt training protocol models bvlc alexnet solver.prototxt provided caffe train alexnet imagenet.the modification made replacing mean.binaryproto mean values computed facebook.and checked close 103.894,116.555,122.579 vs 103.94,116.78,123.68 . accuracy validation set got 55.06 observably low compared one reported caffe comunity 57.1 ,https github.com bvlc caffe tree master models bvlc alexnet . differences mean values tiny think reasons making large drop accuracy. use pre trained caffemodel provided caffe http dl.caffe.berkeleyvision.org bvlc alexnet.caffemodel get accuracy.it still fall behind reference accuracy, 55.9 vs 57.1 . imagenet lmdb dataset created script examples imagenet create imagenet.sh resize true. could anyone give suggestions problem? steps reproduce train alexnet using caffe . build tools caffe train gpu 0 solver models bvlc alexnet solver.prototxt use pre trained alexnet model . build tools caffe test gpu 0 model models bvlc alexnet train val.prototxt weights models bvlc alexnet.caffemodel system configuration operating system ubuntu 16.04 compiler nvcc 8,gcc 5.4.0 cuda version applicable cuda8 cudnn version applicable cudnn515 blas atlas ,cublas8.0",1,unable reproduce accuracy bvlc alexnet,"unable reproduce accuracy bvlc alexnet issue summary use model definition models bvlc alexnet train val.prototxt training protocol models bvlc alexnet solver.prototxt provided caffe train alexnet imagenet.the modification made replacing mean.binaryproto mean values computed facebook.and checked close 103.894,116.555,122.579 vs 103.94,116.78,123.68 . accuracy validation set got 55.06 observably low compared one reported caffe comunity 57.1 ,https github.com bvlc caffe tree master models bvlc alexnet . differences mean values tiny think reasons making large drop accuracy. use pre trained caffemodel provided caffe http dl.caffe.berkeleyvision.org bvlc alexnet.caffemodel get accuracy.it still fall behind reference accuracy, 55.9 vs 57.1 . imagenet lmdb dataset created script examples imagenet create imagenet.sh resize true. could anyone give suggestions problem? steps reproduce train alexnet using caffe . build tools caffe train gpu 0 solver models bvlc alexnet solver.prototxt use pre trained alexnet model . build tools caffe test gpu 0 model models bvlc alexnet train val.prototxt weights models bvlc alexnet.caffemodel system configuration operating system ubuntu 16.04 compiler nvcc 8,gcc 5.4.0 cuda version applicable cuda8 cudnn version applicable cudnn515 blas atlas ,cublas8.0"
caffe,6450,issue summary evaluated speed opencl vs cuda caffe openpose project. openpose model https raw.githubusercontent.com cmu perceptual computing lab openpose master models pose coco pose deploy linevec.prototxt seems significantly slower 2x https pastebin.com 14xzri3z eg example conv2 1 takes 3x186x186 feature map applies convolution takes 2.5 milliseconds opencl 0.86 milliseconds cuda steps reproduce system configuration operating system 16.04 ubuntu compiler gcc 5.4 cuda version applicable 9.0 opencl gtx 1080ti cudnn version applicable blas python version using pycaffe matlab version using matcaffe,1,opencl speed slower large convolutions,opencl speed slower large convolutions issue summary evaluated speed opencl vs cuda caffe openpose project. openpose model https raw.githubusercontent.com cmu perceptual computing lab openpose master models pose coco pose deploy linevec.prototxt seems significantly slower 2x https pastebin.com 14xzri3z eg example conv2 1 takes 3x186x186 feature map applies convolution takes 2.5 milliseconds opencl 0.86 milliseconds cuda steps reproduce system configuration operating system 16.04 ubuntu compiler gcc 5.4 cuda version applicable 9.0 opencl gtx 1080ti cudnn version applicable blas python version using pycaffe matlab version using matcaffe
caffe,3250,"given dataset imbalanced class distribution learning robust nn model hard. general, network leads bias toward common classes ignores rare ones. solving issue, target rescale gradient signals regarding class frequencies. plan follow steps implementation compute class frequency coefficients less equal 1 1 smallest class min class freq class freq classes. values written binary proto file list. give extra proto parameter softmaxwithloss layer file name freq. file similar mean file used data layer. runtime, softmax layer read file define blob including freq values, setup. iteration scale gradient corresponding frequency value indexed label value. basic change softmax loss layer.cu perform scaling. basically, decoupled gpu operations normal backpropagation scaled one scale gradient value softmaxlossbackwardgpu1. even spend whole week, problem cannot solved. setting learning rate, change, network ends exploding gradients iterations. however, make sense since frequency values less equal 1 observe smaller gradients might cause diminishing gradient explosion. someone help point problem would great. already asked user forum could get ans response. sorry wrong platform question.",1,implementing gradient scaling class frequencies softmax loss layer.,"implementing gradient scaling class frequencies softmax loss layer. given dataset imbalanced class distribution learning robust nn model hard. general, network leads bias toward common classes ignores rare ones. solving issue, target rescale gradient signals regarding class frequencies. plan follow steps implementation compute class frequency coefficients less equal 1 1 smallest class min class freq class freq classes. values written binary proto file list. give extra proto parameter softmaxwithloss layer file name freq. file similar mean file used data layer. runtime, softmax layer read file define blob including freq values, setup. iteration scale gradient corresponding frequency value indexed label value. basic change softmax loss layer.cu perform scaling. basically, decoupled gpu operations normal backpropagation scaled one scale gradient value softmaxlossbackwardgpu1. even spend whole week, problem cannot solved. setting learning rate, change, network ends exploding gradients iterations. however, make sense since frequency values less equal 1 observe smaller gradients might cause diminishing gradient explosion. someone help point problem would great. already asked user forum could get ans response. sorry wrong platform question."
caffe,4026,"posted users group responder said may useful here. valgrind complete leveldb used instead lmdb. compiled gpu run gpu 4315 leak summary 4315 definitely lost 96 bytes 4 blocks 4315 indirectly lost 0 bytes 0 blocks 4315 possibly lost 70,778,113 bytes 20,095 blocks 4315 still reachable 114,126,748 bytes 153,749 blocks 4315 suppressed 0 bytes 0 blocks compiled gpu run cpu 5232 leak summary 5232 definitely lost 96 bytes 4 blocks 5232 indirectly lost 0 bytes 0 blocks 5232 possibly lost 70,775,503 bytes 20,075 blocks 5232 still reachable 114,116,564 bytes 153,675 blocks 5232 suppressed 0 bytes 0 blocks compiled cpu 12882 leak summary 12882 definitely lost 0 bytes 0 blocks 12882 indirectly lost 0 bytes 0 blocks 12882 possibly lost 86,909 bytes 1,906 blocks 12882 still reachable 552,984 bytes 6,332 blocks 12882 suppressed 0 bytes 0 blocks valgrind page http valgrind.org docs manual faq.html faq.deflost gives following 'possibly lost'. possibly lost means program leaking memory, unless unusual things pointers could cause point middle allocated block see user manual possible causes. mnist gpu run repeated 273 times 100 minutes point computer freezing lack memory. 'cat proc meminfo' used collect memory stats every 10 seconds sequence. charts 42 stats proc meminfo combined single page https github.com neilnelson misc blob master meminfo.png. right click, select view image, click image expand. interesting charts memfree declines zero 175372 bytes 219 run. buffers stays memfree gets zero declines zero cached similar buffers swapfree declines increase swap usage memfree gets zero. leak summary 'compiled gpu run cpu' run instance following 'possibly lost' section. 5232 22,144,025 bytes 2,207 blocks possibly lost loss record 2,543 2,544 5232 0x4c2ab80 malloc usr lib valgrind vgpreload memcheck amd64 linux.so 5232 0x28e90f1d ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28e4134c ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28e5211f ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28f3fccf ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28f3ffdf ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0xe43fd2c ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe432aaf ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe43edb6 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe443570 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe4371db ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe4256a1 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe458c9e ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe146c11 cudnncreate usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0x51ce276 caffe cudnnconvolutionlayer layersetup std vectorcaffe blob const , std vectorcaffe blob const cudnn conv layer.cpp 53 5232 0x518ec4b caffe layer setup std vectorcaffe blob const , std vectorcaffe blob const layer.hpp 71 5232 0x51946e0 caffe net init caffe netparameter const net.cpp 139 5232 0x5192a76 caffe net net caffe netparameter const , caffe net const net.cpp 27 5232 0x516bb72 caffe solver inittrainnet solver.cpp 105 5232 0x516b395 caffe solver init caffe solverparameter const solver.cpp 57 seems little odd 22,144,025 possibly lost bytes related cuda libs caffe cudnnconvolutionlayer. is, gpu used cpu run, cuda libs would expected used shown. 'possibly lost' figure 'compiled cpu only' leak summary insignificant compared figures cuda compiled code. memory decline first 192 cuda mnist runs averages 59.8 megabytes per run. valgrind shows 67.5 megabytes 'possibly lost' single run.",1,caffe memory leaks,"caffe memory leaks posted users group responder said may useful here. valgrind complete leveldb used instead lmdb. compiled gpu run gpu 4315 leak summary 4315 definitely lost 96 bytes 4 blocks 4315 indirectly lost 0 bytes 0 blocks 4315 possibly lost 70,778,113 bytes 20,095 blocks 4315 still reachable 114,126,748 bytes 153,749 blocks 4315 suppressed 0 bytes 0 blocks compiled gpu run cpu 5232 leak summary 5232 definitely lost 96 bytes 4 blocks 5232 indirectly lost 0 bytes 0 blocks 5232 possibly lost 70,775,503 bytes 20,075 blocks 5232 still reachable 114,116,564 bytes 153,675 blocks 5232 suppressed 0 bytes 0 blocks compiled cpu 12882 leak summary 12882 definitely lost 0 bytes 0 blocks 12882 indirectly lost 0 bytes 0 blocks 12882 possibly lost 86,909 bytes 1,906 blocks 12882 still reachable 552,984 bytes 6,332 blocks 12882 suppressed 0 bytes 0 blocks valgrind page http valgrind.org docs manual faq.html faq.deflost gives following 'possibly lost'. possibly lost means program leaking memory, unless unusual things pointers could cause point middle allocated block see user manual possible causes. mnist gpu run repeated 273 times 100 minutes point computer freezing lack memory. 'cat proc meminfo' used collect memory stats every 10 seconds sequence. charts 42 stats proc meminfo combined single page https github.com neilnelson misc blob master meminfo.png. right click, select view image, click image expand. interesting charts memfree declines zero 175372 bytes 219 run. buffers stays memfree gets zero declines zero cached similar buffers swapfree declines increase swap usage memfree gets zero. leak summary 'compiled gpu run cpu' run instance following 'possibly lost' section. 5232 22,144,025 bytes 2,207 blocks possibly lost loss record 2,543 2,544 5232 0x4c2ab80 malloc usr lib valgrind vgpreload memcheck amd64 linux.so 5232 0x28e90f1d ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28e4134c ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28e5211f ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28f3fccf ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0x28f3ffdf ??? usr lib x86 64 linux gnu libcuda.so.352.63 5232 0xe43fd2c ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe432aaf ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe43edb6 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe443570 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe4371db ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe4256a1 ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe458c9e ??? usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0xe146c11 cudnncreate usr local cuda 7.0 targets x86 64 linux lib libcudnn.so.4 5232 0x51ce276 caffe cudnnconvolutionlayer layersetup std vectorcaffe blob const , std vectorcaffe blob const cudnn conv layer.cpp 53 5232 0x518ec4b caffe layer setup std vectorcaffe blob const , std vectorcaffe blob const layer.hpp 71 5232 0x51946e0 caffe net init caffe netparameter const net.cpp 139 5232 0x5192a76 caffe net net caffe netparameter const , caffe net const net.cpp 27 5232 0x516bb72 caffe solver inittrainnet solver.cpp 105 5232 0x516b395 caffe solver init caffe solverparameter const solver.cpp 57 seems little odd 22,144,025 possibly lost bytes related cuda libs caffe cudnnconvolutionlayer. is, gpu used cpu run, cuda libs would expected used shown. 'possibly lost' figure 'compiled cpu only' leak summary insignificant compared figures cuda compiled code. memory decline first 192 cuda mnist runs averages 59.8 megabytes per run. valgrind shows 67.5 megabytes 'possibly lost' single run."
