Repository,Number,Body,class,Title,Combined_Text
incubator-mxnet,9216,"description 1. batchnorm loses little precision 2. output var batchnorm may wrong environment info os arch linux 4.14.8 mxnet 1.0.0 1.0.1 latest version, cpu version build config make j8 use opencv 1 use blas openblas hi, there. converted resnet model caffe https github.com kaiminghe deep residual networks resnet model mxnet https github.com wkcn resnet v1 mx . found output results caffe mxnet different. reason computations caffe mxnet different. batchnorm caffe, output . batchnorm mxnet, output , . think method mxnet lose little precision bring higher performance reduce times division . time, found batchnorm may wrong. invstd , namely multiplicative inverse standard deviation. think variance. steps reproduce testing code https github.com wkcn test mxnet bn . compare three outputs numpy compute manally caffe mxnet first column , second column . tried solve change batchnorm implement mxnet, output modified batchnorm cpu code https github.com wkcn incubator mxnet commit 5ecd4882bc043cf059e962f7ce488270bafa07c7 .",1,loss precision batchnorm output var may wrong,"loss precision batchnorm output var may wrong description 1. batchnorm loses little precision 2. output var batchnorm may wrong environment info os arch linux 4.14.8 mxnet 1.0.0 1.0.1 latest version, cpu version build config make j8 use opencv 1 use blas openblas hi, there. converted resnet model caffe https github.com kaiminghe deep residual networks resnet model mxnet https github.com wkcn resnet v1 mx . found output results caffe mxnet different. reason computations caffe mxnet different. batchnorm caffe, output . batchnorm mxnet, output , . think method mxnet lose little precision bring higher performance reduce times division . time, found batchnorm may wrong. invstd , namely multiplicative inverse standard deviation. think variance. steps reproduce testing code https github.com wkcn test mxnet bn . compare three outputs numpy compute manally caffe mxnet first column , second column . tried solve change batchnorm implement mxnet, output modified batchnorm cpu code https github.com wkcn incubator mxnet commit 5ecd4882bc043cf059e962f7ce488270bafa07c7 ."
incubator-mxnet,10881,"using mx.sym.dot operator keras heavily. observe cpu performance suspiciously slower. profiling rnn lstm example, observation shown below. dot operator contributing 90 computation time. performance implication mx.sym.dot operator cpu? using mxnet mkl dnn build, operator using gemm operations hood? ! image https user images.githubusercontent.com 3403674 39853665 655d9708 53d8 11e8 8f34 58de7cbafd0e.png anirudh2290 zheng da suggestions comments?",1,mx.sym.dot performance cpu,"mx.sym.dot performance cpu using mx.sym.dot operator keras heavily. observe cpu performance suspiciously slower. profiling rnn lstm example, observation shown below. dot operator contributing 90 computation time. performance implication mx.sym.dot operator cpu? using mxnet mkl dnn build, operator using gemm operations hood? ! image https user images.githubusercontent.com 3403674 39853665 655d9708 53d8 11e8 8f34 58de7cbafd0e.png anirudh2290 zheng da suggestions comments?"
incubator-mxnet,10368,"train part cost 0.01 second, asscalar operation cost seconds sometimes 10. install newest version mxnet pip, happened cpu gpu context both. anyone idea fixing this? thank much.",1,asscalar slow,"asscalar slow train part cost 0.01 second, asscalar operation cost seconds sometimes 10. install newest version mxnet pip, happened cpu gpu context both. anyone idea fixing this? thank much."
incubator-mxnet,3591,quite deep net trained 4 gpus works fine. try run predict slow. 1 cpu anything 16 gpus nothing. looks like model loaded gpu memory actually think never unloaded training. sure happen automatically not. force predict run gpu?,1,r prediction running cpu sow,r prediction running cpu sow quite deep net trained 4 gpus works fine. try run predict slow. 1 cpu anything 16 gpus nothing. looks like model loaded gpu memory actually think never unloaded training. sure happen automatically not. force predict run gpu?
incubator-mxnet,13449,seems https github.com apache incubator mxnet pull 12380 causes significant performance regression spmv. causes 3 times slow p3.16x. main reason pr causes small number omp threads perform computation. minimal code reproducing bug. seems problem occurs model initialized multiple gpus. use code run code. csr file downloaded,1,significant performance regression spmv,significant performance regression spmv seems https github.com apache incubator mxnet pull 12380 causes significant performance regression spmv. causes 3 times slow p3.16x. main reason pr causes small number omp threads perform computation. minimal code reproducing bug. seems problem occurs model initialized multiple gpus. use code run code. csr file downloaded
incubator-mxnet,7820,"changed model called pvanet caffe https github.com sanghoon pva faster rcnn https github.com sanghoon pva faster rcnn , implementation article author https arxiv.org abs 1608.08021 https arxiv.org abs 1608.08021 , problem accuracy low author's done 1 implement classification net https github.com qingzhouzhen incubator mxnet blob pvanet e2e example image classification symbols pvanet.py https github.com qingzhouzhen incubator mxnet blob pvanet e2e example image classification symbols pvanet.py 2 feed classification faster r cnn module https github.com qingzhouzhen incubator mxnet blob pvanet e2e example rcnn rcnn symbol symbol pvanet.py https github.com qingzhouzhen incubator mxnet blob pvanet e2e example rcnn rcnn symbol symbol pvanet.py job done atapt faster r cnn, replace vgg pre trained model pvanet pre trained model, details see 7786 firstly classification net pvanet's accuracy 64.0 70.6 article secondly detection net pvanet rpn rcnn 's map 59.37 82.5 article checked net structure carefully make author's implementation caffe, anything wrong?",1,low accuracy pvanet,"low accuracy pvanet changed model called pvanet caffe https github.com sanghoon pva faster rcnn https github.com sanghoon pva faster rcnn , implementation article author https arxiv.org abs 1608.08021 https arxiv.org abs 1608.08021 , problem accuracy low author's done 1 implement classification net https github.com qingzhouzhen incubator mxnet blob pvanet e2e example image classification symbols pvanet.py https github.com qingzhouzhen incubator mxnet blob pvanet e2e example image classification symbols pvanet.py 2 feed classification faster r cnn module https github.com qingzhouzhen incubator mxnet blob pvanet e2e example rcnn rcnn symbol symbol pvanet.py https github.com qingzhouzhen incubator mxnet blob pvanet e2e example rcnn rcnn symbol symbol pvanet.py job done atapt faster r cnn, replace vgg pre trained model pvanet pre trained model, details see 7786 firstly classification net pvanet's accuracy 64.0 70.6 article secondly detection net pvanet rpn rcnn 's map 59.37 82.5 article checked net structure carefully make author's implementation caffe, anything wrong?"
incubator-mxnet,269,"hi use alexnet.py example imagenet training configure unchanged,but 20 rounds ,the accuracy 0.438870,much worse result shown docs 81 . dataset imagenet. wonder difference comes from. help? thx.",1,training accuracy,"training accuracy hi use alexnet.py example imagenet training configure unchanged,but 20 rounds ,the accuracy 0.438870,much worse result shown docs 81 . dataset imagenet. wonder difference comes from. help? thx."
incubator-mxnet,13454,"description pr 11001 introduced checked symbolblock.imports makes loading large graph takes long time used instantaneous issue code checking symbol row sparse, removing check allows load large model instantaneously again. environment info required python info version 3.6.5 compiler gcc 4.2.1 compatible apple llvm 9.0.0 clang 900.0.39.2 build 'default', 'jun 17 2018 12 26 58' arch '64bit', '' pip info version 18.0 directory usr local lib python3.6 site packages pip mxnet info usr local lib python3.6 site packages requests init .py 80 requestsdependencywarning urllib3 1.24 chardet 3.0.4 match supported version! requestsdependencywarning version 1.3.0 directory usr local lib python3.6 site packages mxnet commit hash b3be92f4a48bce62a5a8424271871c2f81c8f7f1 system info platform darwin 16.7.0 x86 64 i386 64bit system darwin node 186590d6796f.ant.amazon.com release 16.7.0 version darwin kernel version 16.7.0 wed oct 10 20 06 00 pdt 2018 root xnu 3789.73.24 1 release x86 64 hardware info machine x86 64 processor i386 b'machdep.cpu.extfeatures syscall xd 1gbpage em64t lahf lzcnt prefetchw rdtscp tsci' b'machdep.cpu.leaf7 features smep erms rdwrfsgs tsc thread offset bmi1 avx2 bmi2 invpcid smap rdseed adx ipt fpu csds' b'machdep.cpu.features fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clfsh ds acpi mmx fxsr sse sse2 ss htt tm pbe sse3 pclmulqdq dtes64 mon dscpl vmx est tm2 ssse3 fma cx16 tpr pdcm sse4.1 sse4.2 x2apic movbe popcnt aes pcid xsave osxsave seglim64 tsctmr avx1.0 rdrand f16c' b'machdep.cpu.brand string intel r core tm i7 5557u cpu 3.10ghz' network test setting timeout 10 timing mxnet https github.com apache incubator mxnet, dns 0.0543 sec, load 1.2793 sec. timing gluon tutorial en http gluon.mxnet.io, dns 0.0628 sec, load 0.9555 sec. timing gluon tutorial cn https zh.gluon.ai, dns 0.0802 sec, load 0.8386 sec. timing fashionmnist https apache mxnet.s3 accelerate.dualstack.amazonaws.com gluon dataset fashion mnist train labels idx1 ubyte.gz, dns 0.0073 sec, load 1.2169 sec. timing pypi https pypi.python.org pypi pip, dns 0.0521 sec, load 1.1819 sec. timing conda https repo.continuum.io pkgs free , dns 0.0419 sec, load 0.3027 sec. minimum reproducible example using code, please provide short script reproduces error. otherwise, please provide link existing example. steps reproduce paste commands ran produced error. 1. download model attached script load model loading issue.zip https github.com apache incubator mxnet files 2629332 model loading issue.zip 2. python slow model loading.py tried solve it? 1. comment check symbol row sparse",1,model loading became slow 11001,"model loading became slow 11001 description pr 11001 introduced checked symbolblock.imports makes loading large graph takes long time used instantaneous issue code checking symbol row sparse, removing check allows load large model instantaneously again. environment info required python info version 3.6.5 compiler gcc 4.2.1 compatible apple llvm 9.0.0 clang 900.0.39.2 build 'default', 'jun 17 2018 12 26 58' arch '64bit', '' pip info version 18.0 directory usr local lib python3.6 site packages pip mxnet info usr local lib python3.6 site packages requests init .py 80 requestsdependencywarning urllib3 1.24 chardet 3.0.4 match supported version! requestsdependencywarning version 1.3.0 directory usr local lib python3.6 site packages mxnet commit hash b3be92f4a48bce62a5a8424271871c2f81c8f7f1 system info platform darwin 16.7.0 x86 64 i386 64bit system darwin node 186590d6796f.ant.amazon.com release 16.7.0 version darwin kernel version 16.7.0 wed oct 10 20 06 00 pdt 2018 root xnu 3789.73.24 1 release x86 64 hardware info machine x86 64 processor i386 b'machdep.cpu.extfeatures syscall xd 1gbpage em64t lahf lzcnt prefetchw rdtscp tsci' b'machdep.cpu.leaf7 features smep erms rdwrfsgs tsc thread offset bmi1 avx2 bmi2 invpcid smap rdseed adx ipt fpu csds' b'machdep.cpu.features fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clfsh ds acpi mmx fxsr sse sse2 ss htt tm pbe sse3 pclmulqdq dtes64 mon dscpl vmx est tm2 ssse3 fma cx16 tpr pdcm sse4.1 sse4.2 x2apic movbe popcnt aes pcid xsave osxsave seglim64 tsctmr avx1.0 rdrand f16c' b'machdep.cpu.brand string intel r core tm i7 5557u cpu 3.10ghz' network test setting timeout 10 timing mxnet https github.com apache incubator mxnet, dns 0.0543 sec, load 1.2793 sec. timing gluon tutorial en http gluon.mxnet.io, dns 0.0628 sec, load 0.9555 sec. timing gluon tutorial cn https zh.gluon.ai, dns 0.0802 sec, load 0.8386 sec. timing fashionmnist https apache mxnet.s3 accelerate.dualstack.amazonaws.com gluon dataset fashion mnist train labels idx1 ubyte.gz, dns 0.0073 sec, load 1.2169 sec. timing pypi https pypi.python.org pypi pip, dns 0.0521 sec, load 1.1819 sec. timing conda https repo.continuum.io pkgs free , dns 0.0419 sec, load 0.3027 sec. minimum reproducible example using code, please provide short script reproduces error. otherwise, please provide link existing example. steps reproduce paste commands ran produced error. 1. download model attached script load model loading issue.zip https github.com apache incubator mxnet files 2629332 model loading issue.zip 2. python slow model loading.py tried solve it? 1. comment check symbol row sparse"
incubator-mxnet,8335,"testing mxnet win10 ubuntu 16.04 long time. found performance windows lower linux 15 20 gpu cpu contexts. wonder makes performance gap hope someone solve problem. config like following mxnet ubuntu mkl blas cuda8 cudnn6 opencv 2.4.13 jemalloc, gperftools building makefile mxnet windows mkl blas cuda8 cudnn6 opencv 2.4.13 jemalloc, gperftools building cmake",1,performance mxnet windows lower linux 15 20,"performance mxnet windows lower linux 15 20 testing mxnet win10 ubuntu 16.04 long time. found performance windows lower linux 15 20 gpu cpu contexts. wonder makes performance gap hope someone solve problem. config like following mxnet ubuntu mkl blas cuda8 cudnn6 opencv 2.4.13 jemalloc, gperftools building makefile mxnet windows mkl blas cuda8 cudnn6 opencv 2.4.13 jemalloc, gperftools building cmake"
incubator-mxnet,11919,description trained squeezenet model hyper parameters dataset p3.8xlarge p3.16xlarge ami got 3 lower accuracies p3.16xlarge. used batch size per gpu effective batch size 2x p3.16xlarge due 2x number gpus. environment info required p3.8xlarge p3.16xlarge package used python minimum reproducible example used model definition training script gluoncv https gluon cv.mxnet.io build examples classification dive deep imagenet.html sphx glr build examples classification dive deep imagenet py steps reproduce 1. p3.8xlarge 2. p3.16xlarge,1,accuracy changes number gpus,accuracy changes number gpus description trained squeezenet model hyper parameters dataset p3.8xlarge p3.16xlarge ami got 3 lower accuracies p3.16xlarge. used batch size per gpu effective batch size 2x p3.16xlarge due 2x number gpus. environment info required p3.8xlarge p3.16xlarge package used python minimum reproducible example used model definition training script gluoncv https gluon cv.mxnet.io build examples classification dive deep imagenet.html sphx glr build examples classification dive deep imagenet py steps reproduce 1. p3.8xlarge 2. p3.16xlarge
