Repository,Number,Body,class,Title,Combined_Text
keras,11776,improve performance gpu utilization small models see analysis https github.com rossumai keras multi gpu blob master blog docs measurements.md . note created fchollet requests contributions .,1,improve performance gpu utilization multi gpu model small models.,improve performance gpu utilization multi gpu model small models. improve performance gpu utilization small models see analysis https github.com rossumai keras multi gpu blob master blog docs measurements.md . note created fchollet requests contributions .
keras,8707,deleted,1,good accuracy test data bad prediction behaviour lstm,good accuracy test data bad prediction behaviour lstm deleted
keras,11267,"similar problem old issue https github.com keras team keras issues 7723 wrongly closed stale , epochs, validation calculation slower epoch training part. validation training sets number examples. two phases take time 18 cores xeon cpu, validation takes 4 times training time intel phi architeclure tensorflow mkl binary . think suspect model evaluation validation calculation take advantage parallelization multi threading. could core problem. please check. regards please make sure boxes checked submit issue. issue implementation question , please ask question stackoverflow http stackoverflow.com questions tagged keras keras slack channel https keras slack autojoin.herokuapp.com instead opening github issue. thank you! x check date master branch keras. update x check version tensorflow date. installation instructions found https www.tensorflow.org get started os setup . x linked old issue already it. provide link github gist python script reproduce issue copy script short .",1,"model.fit slow validation, evident intel phi","model.fit slow validation, evident intel phi similar problem old issue https github.com keras team keras issues 7723 wrongly closed stale , epochs, validation calculation slower epoch training part. validation training sets number examples. two phases take time 18 cores xeon cpu, validation takes 4 times training time intel phi architeclure tensorflow mkl binary . think suspect model evaluation validation calculation take advantage parallelization multi threading. could core problem. please check. regards please make sure boxes checked submit issue. issue implementation question , please ask question stackoverflow http stackoverflow.com questions tagged keras keras slack channel https keras slack autojoin.herokuapp.com instead opening github issue. thank you! x check date master branch keras. update x check version tensorflow date. installation instructions found https www.tensorflow.org get started os setup . x linked old issue already it. provide link github gist python script reproduce issue copy script short ."
keras,511,"trying mnist examples keras documentation well cifar10 work use gpu. accuracy always 0.1 nan. cpu works correctly gpu float64 also works correctly although slowly. tried restart laptop like another user suggests also cleaning purging theano cache, problem remains. system mac os x 10.10. gtx 750m. theano without keras works properly gpu float32 libraries examples.",1,low nan accuracy examples running gpu float32,"low nan accuracy examples running gpu float32 trying mnist examples keras documentation well cifar10 work use gpu. accuracy always 0.1 nan. cpu works correctly gpu float64 also works correctly although slowly. tried restart laptop like another user suggests also cleaning purging theano cache, problem remains. system mac os x 10.10. gtx 750m. theano without keras works properly gpu float32 libraries examples."
keras,12812,"training gru autoencoder eeg data, discover model predicts lot poorly train loss mse suggests evaluate , test batch , predict hand coded loss, fit agree loss x10 train values results below. exploring various predictions, often seems network performs well except bias offset . aside this, without clue cause underlying discrepancy disabling dropout batch norm help. clues? help appreciated. additional details cudnngru stateful implementation, tensorflow backend layers output layers input, encoder, latent encoder latent, latent decoder 25 separate , 10 min sequences fed 400 timesteps 1 sec time 10 60 600 'windows' parallel, non shuffled applied testing new x25 10 min sequences training, results differ keras 2.2.4, python 3.6, spyder 3.3.4 via anaconda results model.fit x,x,validation data x,x 25 25 1s 42ms step loss 0.1780 val loss 2.9175 25 25 1s 39ms step loss 0.1794 val loss 2.9380 ! enter image description 1 1 1 https i.stack.imgur.com 1nyu5.png",1,"validation loss train loss, data","validation loss train loss, data training gru autoencoder eeg data, discover model predicts lot poorly train loss mse suggests evaluate , test batch , predict hand coded loss, fit agree loss x10 train values results below. exploring various predictions, often seems network performs well except bias offset . aside this, without clue cause underlying discrepancy disabling dropout batch norm help. clues? help appreciated. additional details cudnngru stateful implementation, tensorflow backend layers output layers input, encoder, latent encoder latent, latent decoder 25 separate , 10 min sequences fed 400 timesteps 1 sec time 10 60 600 'windows' parallel, non shuffled applied testing new x25 10 min sequences training, results differ keras 2.2.4, python 3.6, spyder 3.3.4 via anaconda results model.fit x,x,validation data x,x 25 25 1s 42ms step loss 0.1780 val loss 2.9175 25 25 1s 39ms step loss 0.1794 val loss 2.9380 ! enter image description 1 1 1 https i.stack.imgur.com 1nyu5.png"
keras,4108,"hi, wrote custom loss function uses built binary crossentropy loss however, behavior different use function instead passing 'binary crossentropy' model's compile method. function yields worse results. suspect might numerical problem know fix it. gist, https gist.github.com ehsanei 90203acd0026d915699a7cbb9af584a9 get 99 validation accuracy mnist built function 96 validation accuracy loss first epoch. difference much bigger dataset.",1,different behavior custom loss function.,"different behavior custom loss function. hi, wrote custom loss function uses built binary crossentropy loss however, behavior different use function instead passing 'binary crossentropy' model's compile method. function yields worse results. suspect might numerical problem know fix it. gist, https gist.github.com ehsanei 90203acd0026d915699a7cbb9af584a9 get 99 validation accuracy mnist built function 96 validation accuracy loss first epoch. difference much bigger dataset."
keras,4633,"hello there, exact message middle training model tf issue two setups setup 1 32gb ram, gpu setup 2 p2.xlarge instance 60gb ram, 1 2 tesla k80 model goes like lstm 2, lstm16, lstm8, dense1 happens lstm gru network data 3gb csv 4 0.75gb memory usage theano like ! 15321436 1588947471135425 2108629537 png https cloud.githubusercontent.com assets 9210039 20986714 125561f4 bcca 11e6 9c38 47bfb33ad91b.jpeg happens roughly theano invokes g compilation blows oom happens tf, plateaus 35gb memory runs happily, even though setup 1 might question leave optimization , setup 2 works like charm. think worth investigating. theano 0.9.0.dev3 keras 1.1.0",1,theano memory issues.,"theano memory issues. hello there, exact message middle training model tf issue two setups setup 1 32gb ram, gpu setup 2 p2.xlarge instance 60gb ram, 1 2 tesla k80 model goes like lstm 2, lstm16, lstm8, dense1 happens lstm gru network data 3gb csv 4 0.75gb memory usage theano like ! 15321436 1588947471135425 2108629537 png https cloud.githubusercontent.com assets 9210039 20986714 125561f4 bcca 11e6 9c38 47bfb33ad91b.jpeg happens roughly theano invokes g compilation blows oom happens tf, plateaus 35gb memory runs happily, even though setup 1 might question leave optimization , setup 2 works like charm. think worth investigating. theano 0.9.0.dev3 keras 1.1.0"
keras,6688,"trying build binary classification algorithm output 0 1 dataset contains normal malicious network packets. dataset shape converting ip 's hexa decimal ! capture1 https cloud.githubusercontent.com assets 18170760 26241844 86366da2 3c86 11e7 9620 24e6dd6f74e0.png note final column output. keras model however, tried different optimizers, activation functions, number layers, accuracy reaching 0.5 ! capture https cloud.githubusercontent.com assets 18170760 26241854 8c530380 3c86 11e7 92c6 c9afd759eac0.png even tried grid search searching best parameters, maximum 0.5. anyone knows output always like that? enhance it. thanks advance!",1,keras accuracy increasing 50,"keras accuracy increasing 50 trying build binary classification algorithm output 0 1 dataset contains normal malicious network packets. dataset shape converting ip 's hexa decimal ! capture1 https cloud.githubusercontent.com assets 18170760 26241844 86366da2 3c86 11e7 9620 24e6dd6f74e0.png note final column output. keras model however, tried different optimizers, activation functions, number layers, accuracy reaching 0.5 ! capture https cloud.githubusercontent.com assets 18170760 26241854 8c530380 3c86 11e7 92c6 c9afd759eac0.png even tried grid search searching best parameters, maximum 0.5. anyone knows output always like that? enhance it. thanks advance!"
keras,9762,"turn shuffle training, speed become 1 3 . use fully connected network, 5m sample, 300 feature",1,shuffle slow using fcn,"shuffle slow using fcn turn shuffle training, speed become 1 3 . use fully connected network, 5m sample, 300 feature"
keras,9766,"hi, new keras two trials centered around mnist sequential model. first one used traditional approach second used functional one. performance wise, first 10 fold faster functional even that, first gave accuracy 97 second 50 using cpu based tensorflow backend. clues?",1,learning fiting performance,"learning fiting performance hi, new keras two trials centered around mnist sequential model. first one used traditional approach second used functional one. performance wise, first 10 fold faster functional even that, first gave accuracy 97 second 50 using cpu based tensorflow backend. clues?"
