Repository,Number,Body,class,Title,Combined_Text
pytorch,15872,"bug beginning training, gpu memory usage high, i.e. 9gb. iterations, consumption stable 1.4 gb. can't set larger batch size. reproduce change crop size https github.com pytorch examples blob 0.4 imagenet main.py l122 reproduce problem extent, i.e. 7.5gb beginning 4.5gb stable. training scripts complicated dataset process. environment",1,gpu memory usage high beginning training.,"gpu memory usage high beginning training. bug beginning training, gpu memory usage high, i.e. 9gb. iterations, consumption stable 1.4 gb. can't set larger batch size. reproduce change crop size https github.com pytorch examples blob 0.4 imagenet main.py l122 reproduce problem extent, i.e. 7.5gb beginning 4.5gb stable. training scripts complicated dataset process. environment"
pytorch,8710,"issue description torch.nn.mseloss seems get inaccurate calculation size average true reduce true code example tensors 0.1's 0's, desired output 0.01. 0.1 0 2 0.01. get correct result code however, something like below, get inaccurate results turned size average reduce calculate mean manually, get desired output kind know cannot get exactly number using float datatype, 0.01 0.00983 seems me. quite sure intended like using correctly. system info pytorch version 0.4.0 debug build cuda used build pytorch 9.0.176 os ubuntu 16.04.3 lts gcc version ubuntu 5.4.0 6ubuntu1 16.04.9 5.4.0 20160609 cmake version version 3.5.1 python version 2.7 cuda available yes cuda runtime version could collect gpu models configuration gpu 0 geforce gtx 1080 ti gpu 1 geforce gtx 1080 ti gpu 2 geforce gtx 1080 ti nvidia driver version 387.34 cudnn version probably one following usr lib x86 64 linux gnu libcudnn.so.7.1.2 usr lib x86 64 linux gnu libcudnn static v7.a usr local cuda 9.0 targets x86 64 linux lib libcudnn.so usr local cuda 9.0 targets x86 64 linux lib libcudnn.so.7 usr local cuda 9.0 targets x86 64 linux lib libcudnn.so.7.1.4 usr local cuda 9.0 targets x86 64 linux lib libcudnn static.a versions relevant libraries pip numpy 1.14.5 pip torch 0.4.0 pip torchvision 0.2.1 conda could collect",1,incorrect calculation torch.nn.mseloss,"incorrect calculation torch.nn.mseloss issue description torch.nn.mseloss seems get inaccurate calculation size average true reduce true code example tensors 0.1's 0's, desired output 0.01. 0.1 0 2 0.01. get correct result code however, something like below, get inaccurate results turned size average reduce calculate mean manually, get desired output kind know cannot get exactly number using float datatype, 0.01 0.00983 seems me. quite sure intended like using correctly. system info pytorch version 0.4.0 debug build cuda used build pytorch 9.0.176 os ubuntu 16.04.3 lts gcc version ubuntu 5.4.0 6ubuntu1 16.04.9 5.4.0 20160609 cmake version version 3.5.1 python version 2.7 cuda available yes cuda runtime version could collect gpu models configuration gpu 0 geforce gtx 1080 ti gpu 1 geforce gtx 1080 ti gpu 2 geforce gtx 1080 ti nvidia driver version 387.34 cudnn version probably one following usr lib x86 64 linux gnu libcudnn.so.7.1.2 usr lib x86 64 linux gnu libcudnn static v7.a usr local cuda 9.0 targets x86 64 linux lib libcudnn.so usr local cuda 9.0 targets x86 64 linux lib libcudnn.so.7 usr local cuda 9.0 targets x86 64 linux lib libcudnn.so.7.1.4 usr local cuda 9.0 targets x86 64 linux lib libcudnn static.a versions relevant libraries pip numpy 1.14.5 pip torch 0.4.0 pip torchvision 0.2.1 conda could collect"
pytorch,13843,"bug possible cpu side memory leak even fitting gpu using pytorch 0.4.1. reproduce quite new pytorch, used tf keras extensively past, trying use pytorch replacement. decided start small seq2seq skip thought model, cobbled together using pytorch nlp tutorials. everything seems work fine run small scale tests, however, use code run large scale fit 3000 separate paragraphs paragraph variable number sentences notice system ram usage slowly goes script runs, eventually hits 100 box becomes unresponsive force rebooted. linux box 64 gb ram, script starts, usage 4.7 climbs steadily time 100 , point box becomes unresponsive. since new pytorch, sure perhaps something blatantly wrong code would account behaviour? core fitting logic, runs script linux helper functions create tensors passed model converting text words indices predefined gensim dictionary and, finally, skipthought model itself, helper classes apologies wall code expected behavior memory usage linux linearly increase fitting script runs, especially point box dies. environment pytorch version e.g., 1.0 0.4.1 os e.g., linux linux ubuntu 16.04 installed pytorch , , source pip install torch build command used compiling source n python version 3.6.6 cuda cudnn version cuda 9.0.176 cudnn 7.4.1.5 gpu models configuration tesla v100 relevant information",1,possible cpu side memory leak even fitting gpu,"possible cpu side memory leak even fitting gpu bug possible cpu side memory leak even fitting gpu using pytorch 0.4.1. reproduce quite new pytorch, used tf keras extensively past, trying use pytorch replacement. decided start small seq2seq skip thought model, cobbled together using pytorch nlp tutorials. everything seems work fine run small scale tests, however, use code run large scale fit 3000 separate paragraphs paragraph variable number sentences notice system ram usage slowly goes script runs, eventually hits 100 box becomes unresponsive force rebooted. linux box 64 gb ram, script starts, usage 4.7 climbs steadily time 100 , point box becomes unresponsive. since new pytorch, sure perhaps something blatantly wrong code would account behaviour? core fitting logic, runs script linux helper functions create tensors passed model converting text words indices predefined gensim dictionary and, finally, skipthought model itself, helper classes apologies wall code expected behavior memory usage linux linearly increase fitting script runs, especially point box dies. environment pytorch version e.g., 1.0 0.4.1 os e.g., linux linux ubuntu 16.04 installed pytorch , , source pip install torch build command used compiling source n python version 3.6.6 cuda cudnn version cuda 9.0.176 cudnn 7.4.1.5 gpu models configuration tesla v100 relevant information"
pytorch,537,"first call .cuda takes one minute run system titan x swapping gtx 980ti exact system results normal timings although slight delay first call . laptop gtx 960m , almost instant.",1,initial call .cuda slow titan x,"initial call .cuda slow titan x first call .cuda takes one minute run system titan x swapping gtx 980ti exact system results normal timings although slight delay first call . laptop gtx 960m , almost instant."
pytorch,7714,"gradient penalty gp means minimize l2 norm gradient w.r.t input images. work ubuntu14.04, python2.7, cuda8.0 cudnn. version pytorch 0.4.0. find slow apply gradient penalty gp training cifar10 resnet18. test average running time step without gp 4 times slower compared standard training! code better implementation? slow is?",1,slow gradient penalty!,"slow gradient penalty! gradient penalty gp means minimize l2 norm gradient w.r.t input images. work ubuntu14.04, python2.7, cuda8.0 cudnn. version pytorch 0.4.0. find slow apply gradient penalty gp training cifar10 resnet18. test average running time step without gp 4 times slower compared standard training! code better implementation? slow is?"
pytorch,28198,"dlrm performance regression check cause little regression dlrm https github.com facebookresearch dlrm benchmark. without check dlrm benchmark result like check , result like profiling data show time increased , operations 1559.31ms 1503.48ms 27.14ms 14.58ms 22.38ms 9.79966ms reproduce steps reproduce behavior 1. download dlrm https github.com facebookresearch dlrm 1. modify bench dlrm benchmark.sh run pytorch cpu version, build 0 cpu 1 gpu 0 pt 1 c2 0 export two kmp variables export kmp blocktime 1 export kmp affinity granularity fine,compact,1,0 1. run bench dlrm benchmark.sh skx8180 machine. performance profiling data stored file model1 cpu pt 28.prof 'this' got commit id d0a4b2f586e0901c3c65f1f0e0bae15364e28821 'before' got commit id 42e7eb0426190e07339f03d4e6afb61b7ff5ae9c expected behavior dlrm performance impacted, thanks environment please copy paste output environment collection script https raw.githubusercontent.com pytorch pytorch master torch utils collect env.py fill checklist manually . get script run pytorch version e.g., 1.0 commit id d0a4b2f586e0901c3c65f1f0e0bae15364e28821 os e.g., linux ubuntu 16.04.5 lts installed pytorch , , source build command used compiling source python setup.py install python version 3.7 cuda cudnn version n gpu models configuration n relevant information gcc version ubuntu 8.3.0 16ubuntu3 16.04 8.3.0 cmake version version 3.14.4 pip3 numpy 1.16.2 pip3 numpydoc 0.8.0 conda blas 1.0 mkl conda mkl 2019.0 pypi 0 pypi conda mkl devel 2019.3 200 conda mkl include 2019.0 pypi 0 pypi conda mkl service 1.1.2 py37he904b0f 5 conda mkl fft 1.0.10 py37ha843d7b 0 conda mkl random 1.0.2 py37hd81dba3 0 additional context cc ezyang gchanan zou3519 jerryzh168",1,dlrm performance regression 26963,"dlrm performance regression 26963 dlrm performance regression check cause little regression dlrm https github.com facebookresearch dlrm benchmark. without check dlrm benchmark result like check , result like profiling data show time increased , operations 1559.31ms 1503.48ms 27.14ms 14.58ms 22.38ms 9.79966ms reproduce steps reproduce behavior 1. download dlrm https github.com facebookresearch dlrm 1. modify bench dlrm benchmark.sh run pytorch cpu version, build 0 cpu 1 gpu 0 pt 1 c2 0 export two kmp variables export kmp blocktime 1 export kmp affinity granularity fine,compact,1,0 1. run bench dlrm benchmark.sh skx8180 machine. performance profiling data stored file model1 cpu pt 28.prof 'this' got commit id d0a4b2f586e0901c3c65f1f0e0bae15364e28821 'before' got commit id 42e7eb0426190e07339f03d4e6afb61b7ff5ae9c expected behavior dlrm performance impacted, thanks environment please copy paste output environment collection script https raw.githubusercontent.com pytorch pytorch master torch utils collect env.py fill checklist manually . get script run pytorch version e.g., 1.0 commit id d0a4b2f586e0901c3c65f1f0e0bae15364e28821 os e.g., linux ubuntu 16.04.5 lts installed pytorch , , source build command used compiling source python setup.py install python version 3.7 cuda cudnn version n gpu models configuration n relevant information gcc version ubuntu 8.3.0 16ubuntu3 16.04 8.3.0 cmake version version 3.14.4 pip3 numpy 1.16.2 pip3 numpydoc 0.8.0 conda blas 1.0 mkl conda mkl 2019.0 pypi 0 pypi conda mkl devel 2019.3 200 conda mkl include 2019.0 pypi 0 pypi conda mkl service 1.1.2 py37he904b0f 5 conda mkl fft 1.0.10 py37ha843d7b 0 conda mkl random 1.0.2 py37hd81dba3 0 additional context cc ezyang gchanan zou3519 jerryzh168"
pytorch,26165,bug problem loading saved checkpoint pytorch model seperate thread. cpu memory keeps increasing never released. multi threading version script increases ram usage iteration ends 978 resv memory htop output . single threading version holds 374 resv memory htop output . randomly initialize model without state dict loading versions use smaller amount memory. reproduce expected behavior expect ram cleared reference held created models. additional info traced issue https github.com pytorch pytorch blob 33221b19acc3dcacb11c38fdbff65d9a6ce90866 torch nn modules module.py l775 commenting line makes multi threading version behave single threading one. environment pytorch version 1.2.0 os ubuntu 18.04 installed pytorch pip python version 3.5.7 cc ezyang gchanan zou3519 jerryzh168,1,memory leak multithreading environment loading checkpoint,memory leak multithreading environment loading checkpoint bug problem loading saved checkpoint pytorch model seperate thread. cpu memory keeps increasing never released. multi threading version script increases ram usage iteration ends 978 resv memory htop output . single threading version holds 374 resv memory htop output . randomly initialize model without state dict loading versions use smaller amount memory. reproduce expected behavior expect ram cleared reference held created models. additional info traced issue https github.com pytorch pytorch blob 33221b19acc3dcacb11c38fdbff65d9a6ce90866 torch nn modules module.py l775 commenting line makes multi threading version behave single threading one. environment pytorch version 1.2.0 os ubuntu 18.04 installed pytorch pip python version 3.5.7 cc ezyang gchanan zou3519 jerryzh168
pytorch,13886,"trying compute gradient 1 x without using pytorch's autograd. use formula grad 1 x, x 1 x 2 compare result gradient given pytorch's autograd, different. code output anyone explain ?",1,get wrong pytorch derivative division,"get wrong pytorch derivative division trying compute gradient 1 x without using pytorch's autograd. use formula grad 1 x, x 1 x 2 compare result gradient given pytorch's autograd, different. code output anyone explain ?"
pytorch,31295,"bug reproduce steps reproduce behavior 1. cpu 2. gpu tensor 1, 0, 4 , device 'cuda 0' reduction 'none', 'sum', 'mean' r reduction f.log softmax i, dim 1 loss f.nll loss m, target, w, reduction r none tensor 0.0455, 0.1291, 0.8693 , device 'cuda 0', grad fn sum tensor 0.9530, device 'cuda 0', grad fn mean tensor 2.3681, device 'cuda 0', grad fn loss f.nll loss m, target, w, reduction 'none' loss.mean mean tensor 0.8193, grad fn environment pytorch version 1.3.1 debug build cuda used build pytorch 10.1.243 os ubuntu 18.04.3 lts gcc version ubuntu 7.4.0 1ubuntu1 18.04.1 7.4.0 cmake version version 3.0.2 python version 3.6 cuda available yes cuda runtime version 10.1.243 gpu models configuration gpu 0 titan x pascal gpu 1 titan x pascal nvidia driver version 430.50 cudnn version usr lib x86 64 linux gnu libcudnn.so.7.6.5 versions relevant libraries pip3 numpy 1.13.3 conda blas 1.0 mkl conda mkl 2019.4 243 conda mkl service 2.3.0 py36he904b0f 0 conda mkl fft 1.0.14 py36ha843d7b 0 conda mkl random 1.1.0 py36hd6b4f25 0 conda pytorch 1.3.1 py3.6 cuda10.1.243 cudnn7.6.3 0 pytorch conda torchvision 0.4.2 py36 cu101 pytorch cc ezyang gchanan zou3519",1,nll loss weights reduction 'mean' gives wrong result,"nll loss weights reduction 'mean' gives wrong result bug reproduce steps reproduce behavior 1. cpu 2. gpu tensor 1, 0, 4 , device 'cuda 0' reduction 'none', 'sum', 'mean' r reduction f.log softmax i, dim 1 loss f.nll loss m, target, w, reduction r none tensor 0.0455, 0.1291, 0.8693 , device 'cuda 0', grad fn sum tensor 0.9530, device 'cuda 0', grad fn mean tensor 2.3681, device 'cuda 0', grad fn loss f.nll loss m, target, w, reduction 'none' loss.mean mean tensor 0.8193, grad fn environment pytorch version 1.3.1 debug build cuda used build pytorch 10.1.243 os ubuntu 18.04.3 lts gcc version ubuntu 7.4.0 1ubuntu1 18.04.1 7.4.0 cmake version version 3.0.2 python version 3.6 cuda available yes cuda runtime version 10.1.243 gpu models configuration gpu 0 titan x pascal gpu 1 titan x pascal nvidia driver version 430.50 cudnn version usr lib x86 64 linux gnu libcudnn.so.7.6.5 versions relevant libraries pip3 numpy 1.13.3 conda blas 1.0 mkl conda mkl 2019.4 243 conda mkl service 2.3.0 py36he904b0f 0 conda mkl fft 1.0.14 py36ha843d7b 0 conda mkl random 1.1.0 py36hd6b4f25 0 conda pytorch 1.3.1 py3.6 cuda10.1.243 cudnn7.6.3 0 pytorch conda torchvision 0.4.2 py36 cu101 pytorch cc ezyang gchanan zou3519"
pytorch,1088,"hi, wanted write rnn scratch using pytorch cuda capabilities ran preliminary tests compare speed cpu vs gpu. task simple consists loop mimicking update internal state x rnn recurrent weight matrix j. using quadro k620 cuda 8.0. size x n 1000 seems trade off, gpu implementation consistently getting slower number iterations increases ran tests different sizes j matrix behaviour seems pretty systematic . example running times get running enclosed script number iterations 100, 1000, 10000, 100000 cpu 0.010117292404174805, 0.058980703353881836, 0.45785975456237793, 4.512230634689331 gpu 0.0019445419311523438, 0.05474495887756348, 0.7503962516784668, 7.011191129684448 really appreciate help this. thanks advance. test script following",1,gpu slower cpu simple rnn test code,"gpu slower cpu simple rnn test code hi, wanted write rnn scratch using pytorch cuda capabilities ran preliminary tests compare speed cpu vs gpu. task simple consists loop mimicking update internal state x rnn recurrent weight matrix j. using quadro k620 cuda 8.0. size x n 1000 seems trade off, gpu implementation consistently getting slower number iterations increases ran tests different sizes j matrix behaviour seems pretty systematic . example running times get running enclosed script number iterations 100, 1000, 10000, 100000 cpu 0.010117292404174805, 0.058980703353881836, 0.45785975456237793, 4.512230634689331 gpu 0.0019445419311523438, 0.05474495887756348, 0.7503962516784668, 7.011191129684448 really appreciate help this. thanks advance. test script following"
