Accuracy,Precision,Recall,F1-Score,AUC-ROC,Model,Dataset,Run
0.5503355704697986,0.625615763546798,0.6956906729634003,0.5313365569691564,0.6956906729634003,Naïve Bayes + TF-IDF,tensorflow,1
0.7986577181208053,0.676667577911427,0.6907467532467533,0.6830012055882562,0.6907467532467533,BERT + LSTM,tensorflow,1
0.540268456375839,0.6336828309305373,0.7032172373081464,0.5252514681086109,0.7032172373081464,Naïve Bayes + TF-IDF,tensorflow,2
0.7483221476510067,0.6773214892480948,0.7695543093270366,0.6857203121704282,0.7695543093270366,BERT + LSTM,tensorflow,2
0.5436241610738255,0.6290802611367128,0.6984208972845336,0.526917868982584,0.6984208972845336,Naïve Bayes + TF-IDF,tensorflow,3
0.8389261744966443,0.7363994273443093,0.6949527744982291,0.7116129032258065,0.6949527744982291,BERT + LSTM,tensorflow,3
0.5100671140939598,0.6147898493259318,0.6708972845336482,0.4970173410404624,0.6708972845336482,Naïve Bayes + TF-IDF,tensorflow,4
0.7651006711409396,0.6505827505827506,0.6906729634002361,0.663048394391678,0.6906729634002361,BERT + LSTM,tensorflow,4
0.5704697986577181,0.636376404494382,0.7149498229043684,0.5497001463852292,0.7149498229043684,Naïve Bayes + TF-IDF,tensorflow,5
0.8120805369127517,0.7004310344827587,0.726461038961039,0.7114200733208826,0.726461038961039,BERT + LSTM,tensorflow,5
0.5570469798657718,0.6274952919020715,0.6998229043683589,0.5370056497175141,0.6998229043683589,Naïve Bayes + TF-IDF,tensorflow,6
0.7718120805369127,0.6508112094395281,0.6810802833530106,0.6617254273504274,0.6810802833530106,BERT + LSTM,tensorflow,6
0.5838926174496645,0.6452123695976155,0.7300767414403778,0.5624289503599849,0.7300767414403778,Naïve Bayes + TF-IDF,tensorflow,7
0.7684563758389261,0.6704209451104779,0.733913813459268,0.6855722914595918,0.7339138134592681,BERT + LSTM,tensorflow,7
0.5906040268456376,0.6471078976640712,0.7342089728453365,0.5681159420289855,0.7342089728453365,Naïve Bayes + TF-IDF,tensorflow,8
0.7684563758389261,0.667619981478455,0.7270513577331759,0.6825823183439077,0.7270513577331759,BERT + LSTM,tensorflow,8
0.5805369127516778,0.6494296042439323,0.7348730814639906,0.5609123592856722,0.7348730814639906,Naïve Bayes + TF-IDF,tensorflow,9
0.8087248322147651,0.6806409310712236,0.6626328217237308,0.670526622054117,0.6626328217237308,BERT + LSTM,tensorflow,9
0.5604026845637584,0.6388453314326443,0.7156139315230224,0.5424680332384,0.7156139315230224,Naïve Bayes + TF-IDF,tensorflow,10
0.7550335570469798,0.6693822648596518,0.7462367178276269,0.6817496891229611,0.7462367178276269,BERT + LSTM,tensorflow,10
0.5302013422818792,0.6311910377358491,0.6970188902007084,0.5165925101965145,0.6970188902007084,Naïve Bayes + TF-IDF,tensorflow,11
0.7516778523489933,0.6091746794871795,0.62064639905549,0.6139355742296919,0.62064639905549,BERT + LSTM,tensorflow,11
0.5637583892617449,0.6450705568268498,0.7245425029515938,0.5465823970037453,0.724542502951594,Naïve Bayes + TF-IDF,tensorflow,12
0.7114093959731543,0.6566011235955056,0.7468270365997639,0.6533008658008659,0.7468270365997639,BERT + LSTM,tensorflow,12
0.5201342281879194,0.6346434135799367,0.6976829988193625,0.5089364938521993,0.6976829988193625,Naïve Bayes + TF-IDF,tensorflow,13
0.7181208053691275,0.6532704042715485,0.7372343565525383,0.6543496271748135,0.7372343565525383,BERT + LSTM,tensorflow,13
0.5906040268456376,0.6421650055370985,0.7273465171192444,0.5666952707856598,0.7273465171192444,Naïve Bayes + TF-IDF,tensorflow,14
0.8053691275167785,0.6773764853033146,0.6674291617473436,0.6720552519732848,0.6674291617473436,BERT + LSTM,tensorflow,14
0.5436241610738255,0.618558165971959,0.6846959858323495,0.524341580207502,0.6846959858323494,Naïve Bayes + TF-IDF,tensorflow,15
0.7315436241610739,0.6346996245306633,0.690599173553719,0.6436472346786247,0.690599173553719,BERT + LSTM,tensorflow,15
0.5469798657718121,0.6353760177289589,0.7073494687131051,0.5310040919106075,0.7073494687131052,Naïve Bayes + TF-IDF,tensorflow,16
0.802013422818792,0.6766761301594234,0.6790879574970484,0.6778614485424796,0.6790879574970484,BERT + LSTM,tensorflow,16
0.5436241610738255,0.6237604881769642,0.6915584415584416,0.5256554307116105,0.6915584415584416,Naïve Bayes + TF-IDF,tensorflow,17
0.7315436241610739,0.6543337264150944,0.7317739079102715,0.6609205211355749,0.7317739079102716,BERT + LSTM,tensorflow,17
0.540268456375839,0.6393061603953614,0.7100796930342385,0.5263969931440902,0.7100796930342386,Naïve Bayes + TF-IDF,tensorflow,18
0.7953020134228188,0.6772307294695354,0.7024055489964581,0.6875504907268947,0.7024055489964581,BERT + LSTM,tensorflow,18
0.5771812080536913,0.6485404896421846,0.7328069657615112,0.5580508474576271,0.7328069657615113,Naïve Bayes + TF-IDF,tensorflow,19
0.5939597315436241,0.6198712426893956,0.6951003541912633,0.5615675498218693,0.6951003541912633,BERT + LSTM,tensorflow,19
0.5973154362416108,0.6346750638919314,0.7177538370720189,0.5693019222430987,0.7177538370720188,Naïve Bayes + TF-IDF,tensorflow,20
0.8288590604026845,0.7178296419782488,0.7024793388429752,0.7095350037268505,0.7024793388429751,BERT + LSTM,tensorflow,20
0.5234899328859061,0.6129110251450677,0.6722992916174735,0.5073118479880775,0.6722992916174735,Naïve Bayes + TF-IDF,tensorflow,21
0.697986577181208,0.6462369597615499,0.7317001180637543,0.6395355088436105,0.7317001180637543,BERT + LSTM,tensorflow,21
0.5838926174496645,0.6503277153558052,0.7369391971664698,0.5637720168106908,0.7369391971664699,Naïve Bayes + TF-IDF,tensorflow,22
0.8221476510067114,0.7011598405219281,0.6228600944510035,0.643339430481223,0.6228600944510035,BERT + LSTM,tensorflow,22
0.5302013422818792,0.6201160541586074,0.6832939787485242,0.5142511177347243,0.6832939787485242,Naïve Bayes + TF-IDF,tensorflow,23
0.7483221476510067,0.6525832677681616,0.7146546635182999,0.6644295302013423,0.7146546635182999,BERT + LSTM,tensorflow,23
0.4966442953020134,0.623246699669967,0.676357733175915,0.487408834457135,0.676357733175915,Naïve Bayes + TF-IDF,tensorflow,24
0.7751677852348994,0.6649615629154384,0.7105962219598583,0.6791837390535871,0.7105962219598584,BERT + LSTM,tensorflow,24
0.5335570469798657,0.6320154621519792,0.6990850059031877,0.5194830806352447,0.6990850059031877,Naïve Bayes + TF-IDF,tensorflow,25
0.6912751677852349,0.646594684385382,0.7344303423848879,0.6361416361416361,0.7344303423848879,BERT + LSTM,tensorflow,25
